epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,540.469,1.54357,2.34579,1.18462,1.27191,0.73776,0.76061,0.82717,0.47884,0.75549,0.72872,0.81418,0.43285,1.50182,1.98909,1.02926,1.38968,0.00044296,0.00044296,0.00044296
83,546.57,1.52494,2.34426,1.17512,1.27833,0.75756,0.78979,0.8488,0.50995,0.74388,0.77905,0.83014,0.46983,1.43476,1.92758,0.9556,1.35689,0.000432689,0.000432689,0.000432689
84,553.044,1.50109,2.27596,1.11742,1.25095,0.74736,0.77777,0.83218,0.49191,0.73807,0.76057,0.81681,0.44465,1.51092,1.93468,0.9833,1.39796,0.000422449,0.000422449,0.000422449
85,559.13,1.55216,2.35148,1.17002,1.2876,0.7799,0.80337,0.84088,0.48382,0.75215,0.80017,0.81651,0.45529,1.54733,1.98474,0.9396,1.43445,0.000412246,0.000412246,0.000412246
86,565.247,1.49872,2.24757,1.13788,1.28458,0.79687,0.79495,0.84396,0.5064,0.76408,0.77649,0.81516,0.46258,1.43499,2.03974,0.94204,1.36422,0.000402084,0.000402084,0.000402084
87,571.42,1.46897,2.22586,1.08904,1.24168,0.78421,0.81035,0.8512,0.51974,0.77425,0.80336,0.84201,0.4797,1.37818,1.85459,0.91578,1.3098,0.000391966,0.000391966,0.000391966
88,577.929,1.49834,2.28282,1.15122,1.2618,0.81615,0.80596,0.86436,0.5266,0.81459,0.78508,0.85686,0.49665,1.38627,1.74697,0.89344,1.31586,0.000381899,0.000381899,0.000381899
89,584.421,1.43965,2.21738,1.07586,1.22953,0.83525,0.78757,0.86325,0.51056,0.81782,0.77947,0.84692,0.48309,1.48747,1.89924,0.94026,1.38383,0.000371885,0.000371885,0.000371885
90,590.495,1.49519,2.24881,1.1007,1.2559,0.82579,0.76501,0.86081,0.49858,0.82284,0.73739,0.83695,0.47142,1.44632,1.83884,0.92231,1.36106,0.000361929,0.000361929,0.000361929
91,596.593,1.4959,2.25975,1.1057,1.2447,0.76911,0.74069,0.81523,0.44848,0.75973,0.724,0.80309,0.41318,1.60853,2.07627,1.05121,1.44393,0.000352037,0.000352037,0.000352037
92,602.636,1.46813,2.24603,1.11913,1.26318,0.80652,0.7608,0.83267,0.4851,0.78844,0.75072,0.81432,0.44726,1.51095,2.03698,0.96676,1.38929,0.000342211,0.000342211,0.000342211
93,608.703,1.44853,2.16508,1.06228,1.2343,0.78035,0.78754,0.84784,0.51521,0.76901,0.7756,0.83606,0.48185,1.48734,1.92425,0.93276,1.37547,0.000332457,0.000332457,0.000332457
94,614.718,1.44305,2.23802,1.08655,1.25892,0.80533,0.79907,0.87135,0.54759,0.80984,0.78345,0.86038,0.51172,1.34297,1.80938,0.88518,1.28769,0.000322778,0.000322778,0.000322778
95,621.135,1.39017,2.12532,1.01992,1.20027,0.81541,0.81651,0.87307,0.54333,0.79364,0.82767,0.87281,0.51559,1.33456,1.7362,0.87826,1.29185,0.00031318,0.00031318,0.00031318
96,627.204,1.43685,2.19617,1.0686,1.23235,0.80738,0.7964,0.85909,0.52088,0.81188,0.78979,0.85287,0.48841,1.42995,1.86961,0.90874,1.33082,0.000303665,0.000303665,0.000303665
97,633.26,1.44805,2.20307,1.0196,1.21493,0.79632,0.71781,0.80801,0.48682,0.79338,0.72423,0.80282,0.44683,1.49141,1.96753,1.02066,1.3734,0.000294239,0.000294239,0.000294239
98,639.295,1.51299,2.34484,1.09697,1.26701,0.83316,0.76265,0.85981,0.49452,0.82017,0.74978,0.8472,0.44291,1.51793,2.00847,0.91138,1.38589,0.000284906,0.000284906,0.000284906
99,645.385,1.47048,2.26682,1.1047,1.24604,0.85125,0.76723,0.874,0.51788,0.83078,0.74987,0.86085,0.46663,1.48746,2.03733,0.9131,1.36217,0.000275668,0.000275668,0.000275668
100,651.545,1.43054,2.18197,1.04354,1.20951,0.82296,0.80396,0.87049,0.55085,0.81155,0.81308,0.86526,0.51001,1.30839,1.80753,0.83316,1.28744,0.000266532,0.000266532,0.000266532
101,657.957,1.46613,2.25507,1.09648,1.25324,0.79472,0.85344,0.86999,0.54287,0.78671,0.84193,0.85787,0.4898,1.34684,1.821,0.85267,1.29506,0.0002575,0.0002575,0.0002575
102,664.145,1.43777,2.22032,1.0632,1.22246,0.82372,0.82508,0.87131,0.51933,0.81873,0.81972,0.86559,0.48628,1.44683,1.88072,0.90756,1.3322,0.000248577,0.000248577,0.000248577
103,670.175,1.47559,2.26322,1.09632,1.24924,0.8047,0.81395,0.86027,0.50847,0.79969,0.8063,0.85513,0.47447,1.53172,2.00729,0.95009,1.40308,0.000239766,0.000239766,0.000239766
104,676.264,1.44434,2.20614,1.04204,1.2217,0.81103,0.81927,0.85774,0.55217,0.79496,0.7993,0.83967,0.50405,1.33397,1.77699,0.82906,1.30308,0.000231071,0.000231071,0.000231071
105,682.331,1.38544,2.16134,1.01485,1.20004,0.81797,0.82436,0.86663,0.5494,0.81114,0.81695,0.86127,0.50617,1.36637,1.77019,0.89347,1.31137,0.000222497,0.000222497,0.000222497
106,688.399,1.41221,2.15016,1.01855,1.20513,0.81867,0.8174,0.87712,0.55742,0.80778,0.80993,0.8633,0.52004,1.31962,1.79981,0.84487,1.29709,0.000214046,0.000214046,0.000214046
107,694.8,1.40029,2.14123,1.0018,1.20756,0.82226,0.83131,0.88906,0.55819,0.81664,0.82249,0.87918,0.52075,1.3659,1.82976,0.81795,1.31596,0.000205723,0.000205723,0.000205723
108,701.258,1.37736,2.11116,0.99163,1.19323,0.83953,0.81177,0.87902,0.53423,0.83452,0.80617,0.86787,0.49006,1.43759,1.87536,0.88268,1.34847,0.000197532,0.000197532,0.000197532
109,707.384,1.37875,2.09875,0.97927,1.19041,0.77566,0.82903,0.86163,0.52163,0.76938,0.82112,0.8511,0.48062,1.51603,1.84687,0.88204,1.41394,0.000189475,0.000189475,0.000189475
110,713.51,1.37064,2.09035,0.98123,1.19126,0.79097,0.83508,0.86405,0.53903,0.78969,0.82866,0.85421,0.50384,1.41876,1.80108,0.85132,1.36696,0.000181557,0.000181557,0.000181557
111,719.626,1.35763,2.08216,0.97943,1.20262,0.85369,0.80984,0.88942,0.5527,0.84843,0.79737,0.87585,0.52056,1.33071,1.81885,0.81126,1.32161,0.00017378,0.00017378,0.00017378
112,725.7,1.34949,2.09293,0.97276,1.19973,0.83271,0.85161,0.89225,0.56621,0.8342,0.82767,0.87785,0.5234,1.31015,1.8153,0.78809,1.31302,0.000166149,0.000166149,0.000166149
113,732.125,1.35627,2.08024,0.95813,1.18573,0.83352,0.83649,0.88216,0.54532,0.83105,0.8193,0.86975,0.50519,1.43564,1.88857,0.80281,1.35819,0.000158667,0.000158667,0.000158667
114,738.217,1.35365,2.05229,0.95322,1.17654,0.83096,0.81954,0.87903,0.5378,0.8164,0.8046,0.86173,0.50537,1.43899,1.89708,0.81055,1.37019,0.000151336,0.000151336,0.000151336
